"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","HTTP","",""
"pre_128cipher","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","not offered","",""
"SSLv3","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","not offered","",""
"TLS1","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_1","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_2","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","offered","",""
"TLS1_3","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","offered with final","",""
"ALPN_HTTP2","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","h2","",""
"cipherlist_NULL","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipherlist_STRONG_FS","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipher_order-tls1_2","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","server","",""
"cipherorder_TLSv1_2","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","server","",""
"FS","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","offered","",""
"FS_ciphers","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","yes","",""
"sessionresumption_ticket","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","not supported","",""
"sessionresumption_ID","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","supported","",""
"TLS_timestamp","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","random","",""
"certificate_compression","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","none","",""
"clientAuth","www.pass.fonction-publique.gouv.fr/45.223.57.83","443","INFO","none","",""
